pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.258164,0.269777,0.234301,0.237757,2.61353,4.25793,-5.22571,3.52363,-8.67386,-5.86803,5.08436,3.77545,0.168302,0.0698985,0.0698985,5.62778,0.595139,0.390841,0.390841,0.174003,2.17946,0.830999,0.830999,0.0124182,0.890683,0.380899,0.380899,0.0115162,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.33498,0.324312,0.273373,0.067335,-5.07347,-7.03044,7.03639,-4.25618,9.175,-3.82055,-7.76327,-7.44579,3.10404,-0.858129,-0.858129,0.0987886,2.94449,-0.1846,-0.1846,3.07817,0.28487,0.54823,0.54823,0.23453,1.14281,-0.407543,-0.407543,3.04295,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.129514,0.14154,0.31847,0.410476,5.38931,0.00685939,-1.22279,9.86384,1.38238,-2.3155,0.495885,6.00339,1.07613,0.197142,0.197142,0.148176,0.284529,1.02258,1.02258,5.80636,0.0112544,-0.822807,-0.822807,0.549398,0.205424,-0.749987,-0.749987,3.21944,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.319841,0.282556,0.181271,0.216333,-5.51858,3.52272,8.93039,0.81379,-3.66799,-2.47659,-7.44399,1.07719,0.488136,0.0991224,0.0991224,0.257595,0.865356,0.155325,0.155325,1.90136,0.0651789,1.02166,1.02166,1.52872,1.64366,-0.107838,-0.107838,0.0339045,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.379516,0.525482,0.0398647,0.0551375,5.05004,4.21214,-2.24371,-2.33476,-4.97074,-4.59789,0.0260588,-3.91265,0.260068,0.0116457,0.0116457,3.09188,1.70543,0.851195,0.851195,0.98544,1.15467,-0.494565,-0.494565,0.567362,0.48344,0.334131,0.334131,8.48434,-9638.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0771233,0.0398579,0.454018,0.429,4.61795,0.414902,7.0453,-8.91016,1.84556,5.41265,-5.94313,-5.62779,0.395696,-0.049164,-0.049164,0.141179,0.00786747,0.298875,0.298875,0.396543,4.50707,2.17329,2.17329,0.0371248,0.492606,2.12008,2.12008,0.734478,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.24351,0.00983638,0.695568,0.0510859,-5.24207,2.04101,8.11664,1.00893,3.77097,9.48657,0.218713,9.28,1.26501,-0.0552092,-0.0552092,0.427182,0.109742,0.0397591,0.0397591,0.396331,4.03655,-0.0344805,-0.0344805,0.232857,0.00966258,-0.18637,-0.18637,0.269384,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.213594,0.269838,0.22826,0.288308,4.3972,-3.15052,5.81421,-5.40733,-2.60491,-6.70583,1.11329,1.03664,0.0380812,0.16629,0.16629,1.30123,0.159863,-0.77568,-0.77568,0.0934185,0.0687518,-1.3559,-1.3559,0.215807,0.847365,-0.438264,-0.438264,0.791599,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.15018,0.333877,0.187387,0.328556,0.483086,-0.292286,9.22065,7.20547,7.51314,0.760818,-3.54947,7.84619,0.0806365,0.363105,0.363105,1.65985,6.28745,0.78512,0.78512,0.0948628,1.3794,0.16698,0.16698,0.0577038,0.400123,-1.52325,-1.52325,0.150529,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.177817,0.382921,0.271041,0.168222,-5.8012,-9.7447,0.813728,-8.31093,2.62209,1.84414,-0.0395865,3.69389,0.260649,-0.171174,-0.171174,0.267042,0.00153614,0.369934,0.369934,0.0618422,1.36298,-0.224343,-0.224343,2.15975,1.36673,-0.369471,-0.369471,1.11176,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.193708,0.280907,0.044034,0.481351,-8.79653,-4.66168,-6.44449,7.9121,9.33848,-3.05481,6.83533,0.844245,0.580317,-0.00408526,-0.00408526,1.15369,1.33453,-1.23715,-1.23715,0.00295623,1.13594,-0.510908,-0.510908,0.000644889,0.00830216,0.416837,0.416837,2.2531,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0554518,0.520046,0.153397,0.271105,0.354838,-9.49139,3.41461,9.31745,-1.21317,-7.74124,-8.55939,1.6915,0.202641,0.158279,0.158279,4.48849,0.00889035,-0.472513,-0.472513,0.568973,0.783784,-4.27767,-4.27767,0.00779884,1.43072,0.126264,0.126264,4.52475,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.370537,0.370664,0.187898,0.0709011,-8.55425,1.1056,8.43315,4.95175,-8.73616,-6.44469,-6.62051,0.710967,0.303543,0.670147,0.670147,2.38621,1.26457,0.307386,0.307386,0.898154,0.0563191,1.78092,1.78092,1.50452,1.35466,0.544387,0.544387,3.87908,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.213359,0.476121,0.30726,0.0032602,-9.58314,4.40876,-4.06703,-8.99406,4.2435,-3.72334,-4.73365,1.39189,0.161405,-0.132944,-0.132944,0.000783918,0.316474,-0.126811,-0.126811,0.00312908,0.0922712,-0.179893,-0.179893,1.3392,1.42497,-0.0322911,-0.0322911,1.13548,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.249649,0.293393,0.217012,0.239946,4.53676,7.60199,-3.89277,-1.41015,9.82519,3.36718,-4.38424,4.97474,0.00938664,0.592152,0.592152,0.00173607,0.581663,-0.451908,-0.451908,0.0428979,0.0386543,-0.240192,-0.240192,0.0767743,0.999134,1.03908,1.03908,0.811374,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.374553,0.514559,0.00559639,0.105293,-4.96021,5.4075,-7.24614,-6.61182,-6.03335,-9.44614,-0.727704,8.06014,0.767363,0.547722,0.547722,0.610518,0.662565,-1.72822,-1.72822,0.261083,0.104913,0.345857,0.345857,0.414792,1.0751,0.45267,0.45267,0.761021,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
