pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.365783,0.24736,0.0227989,0.364058,-4.55812,-6.11763,-4.55545,-4.17131,8.26107,-4.67006,-3.54803,-0.0146432,0.418361,1.11691,1.11691,0.170221,0.03299,-2.90983,-2.90983,1.09199,1.63024,-0.391296,-0.391296,1.20262,0.566295,0.211964,0.211964,0.62377,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.222009,0.299655,0.228434,0.249902,-8.51933,5.79857,7.18993,-1.48399,8.0288,-6.09082,2.20534,4.81445,1.36925,-0.13797,-0.13797,0.542192,2.2793,-0.798123,-0.798123,0.0209007,0.0146088,-1.21589,-1.21589,2.25794,0.870041,0.467159,0.467159,0.267954,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.300414,0.206056,0.263732,0.229798,2.66933,-9.4874,-5.03239,-9.8702,-8.28605,6.49066,2.5008,6.66456,3.21002,2.16866,2.16866,0.0015729,0.0471641,-0.0107396,-0.0107396,4.71227,0.672645,0.207403,0.207403,4.61421,2.24736,-0.947259,-0.947259,0.0244054,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.379584,0.309218,0.27431,0.0368883,-5.19534,-5.2089,8.90166,-2.81039,-9.73935,7.66331,2.00223,-4.37253,0.122331,-0.22862,-0.22862,0.0302985,0.306538,-0.597266,-0.597266,0.0931325,0.271699,0.46933,0.46933,0.289863,0.0328289,-0.0265067,-0.0265067,1.06081,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.260744,0.286627,0.262136,0.190493,2.41962,9.27614,-2.86785,-4.45064,-2.03855,1.58148,1.00275,-9.85924,0.0129255,3.368,3.368,0.262014,0.00853812,-0.117077,-0.117077,0.185023,0.0989589,-0.843773,-0.843773,1.02022,0.420462,-0.0135823,-0.0135823,0.00630835,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.297412,0.00634193,0.313209,0.383037,-1.38504,-6.99599,7.09179,-3.50293,4.30174,6.6615,8.61169,3.27161,6.79046,0.166011,0.166011,1.46842,0.0188483,-0.618165,-0.618165,0.19128,1.90141,-0.0244564,-0.0244564,0.782337,0.0819405,2.59947,2.59947,0.00760427,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.262702,0.319013,0.417621,0.000664049,-1.91484,2.7864,6.06813,3.70122,-7.58191,-8.35195,-4.44729,4.63907,0.124233,0.0681096,0.0681096,3.40642,0.204518,0.862498,0.862498,0.401673,0.31873,0.593102,0.593102,0.510379,0.0323087,-0.786121,-0.786121,1.88967,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.00968475,0.129326,0.457399,0.40359,-2.74728,2.16109,0.074217,-2.57195,2.12554,-1.93492,-2.19402,2.94222,2.579,0.066158,0.066158,0.354196,1.22494,-0.136332,-0.136332,0.89411,0.421722,0.0850346,0.0850346,0.569622,0.378355,-0.555059,-0.555059,1.00905,-7266.46,0.390009,0.10022,0.29284,0.216931,1.98295,1.97645,-2.03151,-1.79711,1.96754,-1.89402,-1.90083,2.05607,0.879804,0.08596,0.08596,0.983208,1.28447,0.207977,0.207977,1.04946,0.962458,0.122667,0.122667,1.16928,1.19291,-0.222702,-0.222702,0.891823,-3987.94,78
0.244114,0.536991,0.0402797,0.178615,5.68176,-3.65324,6.31001,5.6248,-4.23319,-9.83327,-0.4824,-3.40773,0.161691,0.329248,0.329248,0.00130973,0.197125,-0.401766,-0.401766,1.54971,1.56398,0.298662,0.298662,0.213061,0.0132693,-0.0536557,-0.0536557,2.69417,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.198831,0.370121,0.296747,0.1343,7.92048,1.03381,8.73116,4.3897,-6.06068,-3.50968,-7.64893,8.61344,0.0447231,-2.74007,-2.74007,1.70414,0.160813,0.479776,0.479776,0.197925,0.00129613,0.223495,0.223495,0.845335,0.233704,-2.18448,-2.18448,0.449921,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.335927,0.27739,0.332966,0.0537172,7.1033,-5.14482,-5.1058,-9.71869,-0.602157,7.31106,-4.44928,8.46508,0.423892,0.55047,0.55047,0.111832,1.68782,0.443617,0.443617,0.607456,2.02276,0.519116,0.519116,0.272065,0.115386,0.336562,0.336562,0.293964,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.288862,0.0994547,0.337659,0.274024,0.442229,-0.972287,-8.62621,7.54057,-8.33423,-9.54774,-7.40572,4.53516,2.41916,-0.434181,-0.434181,0.0260083,0.0198853,0.621924,0.621924,2.29745,0.0735673,0.153851,0.153851,0.0153424,0.279391,-0.0872081,-0.0872081,0.216484,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0407282,0.311875,0.30857,0.338826,-4.69036,-6.70983,6.39424,7.35522,-7.52845,3.77198,8.86775,-2.35167,0.833806,0.402934,0.402934,0.203328,0.0136872,1.15317,1.15317,0.0835213,4.56664,0.0100881,0.0100881,0.572064,0.29421,0.478831,0.478831,1.33849,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.274581,0.276943,0.228806,0.21967,-8.86319,-7.71397,-0.139848,-4.03326,8.3081,5.52444,9.87941,1.37626,0.44078,0.00676985,0.00676985,0.0365569,0.713227,1.41614,1.41614,0.504158,0.359654,-0.607378,-0.607378,2.91096,2.42017,-1.53184,-1.53184,4.1251,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.209138,0.325924,0.000397474,0.46454,1.34153,1.02897,6.87238,3.15498,-3.68288,-1.2145,-0.110836,-4.2112,0.00226165,-0.271228,-0.271228,0.709246,0.769256,-0.131009,-0.131009,0.00128579,0.417182,-0.931506,-0.931506,0.645464,0.438133,0.203632,0.203632,0.124635,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.241933,0.258295,0.24072,0.259052,-5.618,4.59709,-1.76873,-1.68719,-5.41906,9.06889,4.19539,-7.62395,2.61119,-0.353335,-0.353335,0.6684,0.00405782,0.246443,0.246443,0.431162,0.0962177,0.553023,0.553023,1.94944,0.206663,-1.11981,-1.11981,0.0685151,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.224227,0.249278,0.302129,0.224366,4.11608,-4.2186,5.79478,-6.62484,9.40566,-7.012,6.01269,-1.03546,1.82977,-0.444765,-0.444765,1.33078,5.9697,1.98501,1.98501,0.119643,1.82138,-1.66675,-1.66675,0.540682,0.779474,-0.229146,-0.229146,0.0817707,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.222331,0.109794,0.479112,0.188762,-9.73949,1.05296,4.25005,5.4663,-0.48994,2.59737,1.8524,6.64446,0.00741311,0.190507,0.190507,0.111777,8.91612e-05,-1.2865,-1.2865,0.0265995,7.19308,0.775715,0.775715,1.09656,2.03226,0.00348204,0.00348204,1.31179,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0753973,0.127724,0.288279,0.5086,-8.80663,-7.78959,-8.39565,3.65965,-7.70331,7.23094,3.4064,5.6259,0.355315,1.72356,1.72356,0.121128,0.352271,0.0717724,0.0717724,0.645793,0.00836161,-1.79348,-1.79348,0.44416,1.98632,-0.340385,-0.340385,0.435309,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.272234,0.398064,0.110469,0.219233,3.50287,-6.79034,-3.86833,-4.94997,2.6557,9.2865,1.92014,-6.54165,0.743561,-0.00714138,-0.00714138,0.0133735,3.19699,-0.115596,-0.115596,0.253238,0.356295,-1.27706,-1.27706,1.14094,0.00243891,0.558483,0.558483,0.0268047,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.238108,0.11651,0.0729575,0.572425,5.0344,-3.60864,7.69001,1.20814,8.87345,3.72696,-8.41093,8.2863,1.78279,-0.0603853,-0.0603853,0.983075,0.0590685,0.349752,0.349752,0.00012101,1.7487,0.286112,0.286112,0.0361091,0.121028,0.169912,0.169912,0.000158462,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.389222,0.218004,0.031282,0.361492,8.74642,2.10049,9.37799,-1.29715,-1.6243,2.37195,1.47164,-8.73968,0.0117069,0.949807,0.949807,0.0470424,2.12053,-0.0170305,-0.0170305,0.631194,0.341186,1.00665,1.00665,0.923309,1.70144,-0.654919,-0.654919,0.421934,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0625757,0.445501,0.040615,0.451309,-4.24193,6.5157,-2.6501,-5.0396,-8.52145,4.23756,-5.54159,-0.972329,7.82609,2.74182,2.74182,0.449358,0.610323,0.221907,0.221907,0.720066,0.311536,-0.183837,-0.183837,2.25158,0.132704,-0.457465,-0.457465,0.00623293,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.261094,0.219868,0.196527,0.322511,-3.37237,-3.03043,-5.9525,-3.98761,8.08146,6.84484,-6.71707,0.45003,4.68873,-0.536033,-0.536033,0.326963,0.312683,0.283015,0.283015,0.511473,1.86319,-0.433501,-0.433501,2.05363,0.479822,1.2538,1.2538,0.333205,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.435269,0.309694,0.00262554,0.252411,-2.29176,2.4717,-2.58343,2.50829,0.689996,-0.282065,-1.18131,-8.59869,0.611536,0.196399,0.196399,0.17725,0.141956,-1.42957,-1.42957,0.142742,9.04139e-05,0.00208964,0.00208964,4.57562,0.275245,-0.248994,-0.248994,0.648937,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.19363,0.106592,0.382241,0.317537,3.90448,6.84693,-4.32421,9.29583,7.26554,9.92098,-1.00771,-7.6419,0.223416,1.03813,1.03813,0.00290935,4.10301,-0.516073,-0.516073,2.17312,0.705347,0.131385,0.131385,0.65393,0.0132645,0.906077,0.906077,1.76232,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.116316,0.400072,0.443644,0.0399679,-8.32672,6.2787,-6.38637,0.42645,-9.63229,6.29835,3.63661,4.1603,0.311944,-0.516958,-0.516958,0.0979502,0.000490661,0.517325,0.517325,0.436132,0.387441,-0.130282,-0.130282,1.31157,2.20487,-0.0652804,-0.0652804,3.07733,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.133189,0.461916,0.1629,0.241995,8.46574,3.82217,-1.17532,7.35149,4.62353,8.41429,9.64984,-5.1454,2.71036,0.481388,0.481388,0.328522,0.0996376,-0.0109055,-0.0109055,0.202749,0.00421535,-0.958754,-0.958754,2.77189,0.387927,-1.32285,-1.32285,0.129276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.30205,0.24629,0.0434724,0.408188,-6.53256,7.18028,-2.27296,1.36868,2.57075,-3.37273,3.73642,-5.62033,1.07493,-0.636307,-0.636307,0.202217,1.57813,0.182101,0.182101,0.0918629,0.163513,0.00623581,0.00623581,2.12675,3.30554,0.00842028,0.00842028,0.561456,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0236813,0.425574,0.255641,0.295104,-4.65534,2.38431,6.46841,-2.03326,-7.27431,-6.27445,-4.64418,4.6043,0.177276,-0.433199,-0.433199,0.656507,0.106156,-0.221481,-0.221481,0.839422,1.68266,0.244987,0.244987,4.06105,0.924053,0.353274,0.353274,1.2886,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.181914,0.400081,0.11895,0.299054,-5.7646,-5.26315,9.76592,3.06993,8.50545,-9.47939,3.33733,5.36266,3.18877,0.98607,0.98607,0.751302,1.90637,-0.431546,-0.431546,0.00244214,0.0438976,-0.203695,-0.203695,0.339277,0.0263027,0.446195,0.446195,1.18342,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.142044,0.210188,0.229825,0.417943,5.88573,-9.42068,4.16897,3.28096,-4.76801,-9.61135,-7.2286,3.65907,1.98482,2.58505,2.58505,1.03547,0.0571421,-0.366543,-0.366543,4.01839e-05,0.119489,-2.55966,-2.55966,0.726626,4.88394,0.177198,0.177198,1.57405,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.163453,0.074761,0.348924,0.412862,9.43678,-9.10173,8.77475,-9.90983,4.49008,6.28708,-8.8418,-5.87346,3.89965,1.91194,1.91194,0.0780103,0.0241201,1.85799,1.85799,1.7513,5.18747e-06,-0.687347,-0.687347,1.0643,0.0339972,-0.569332,-0.569332,0.662345,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0734384,0.253109,0.169453,0.504,1.93142,-6.98871,5.78367,-4.19178,2.97843,-6.26876,5.5029,2.1904,0.277164,0.482839,0.482839,0.0787432,0.0385061,0.267953,0.267953,2.30573,0.844696,1.06668,1.06668,2.01968,0.533421,0.422931,0.422931,0.304644,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.337231,0.262227,0.335034,0.0655081,-7.47791,7.38492,9.44294,-5.88515,3.65808,-9.85453,3.83438,-4.86774,2.22521,-1.34355,-1.34355,1.93502,0.795407,1.1986,1.1986,1.09036,0.0919056,-1.07911,-1.07911,2.28356,0.00980689,-0.3842,-0.3842,1.60855,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.111087,0.0506363,0.418094,0.420183,1.96364,-5.52578,-3.27518,4.22115,-8.0283,-6.91729,-7.40614,6.04775,0.00242104,-0.53474,-0.53474,1.66735,2.21628,0.00231461,0.00231461,1.36319,0.902336,0.196325,0.196325,0.00361956,0.0439906,1.47108,1.47108,0.632799,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.246631,0.0308804,0.460085,0.262404,9.35287,-5.79332,-2.21578,-1.36727,-0.0102374,0.867305,-1.72899,3.98053,1.03912,0.396308,0.396308,2.56228,4.49258,1.53039,1.53039,0.0857823,2.42471,-0.0762378,-0.0762378,0.0412787,0.133885,0.00184599,0.00184599,0.670122,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.125752,0.31337,0.378662,0.182216,7.28373,-3.06527,-6.85065,8.42618,0.276369,2.3352,-6.54749,4.81417,0.0421306,-0.299069,-0.299069,2.91808,0.200568,-0.260173,-0.260173,1.88477,0.854065,0.711007,0.711007,0.147448,0.00273766,0.138181,0.138181,0.00531021,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.19617,0.215105,0.303162,0.285563,0.0499545,-5.32483,8.0254,-6.46396,8.99478,-2.49502,-2.71218,-0.117948,0.312178,-0.141132,-0.141132,0.202475,0.975358,0.00616521,0.00616521,0.172143,0.810821,-0.716329,-0.716329,0.887229,4.80373,-0.0434126,-0.0434126,0.782188,-8584.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.330405,0.256843,0.147599,0.265154,-7.81275,5.25498,2.32022,0.401312,-4.46274,6.43059,4.37579,-4.19408,0.0923622,0.468757,0.468757,0.811392,2.79581,-0.158533,-0.158533,0.232418,0.539998,-1.01472,-1.01472,0.00343873,0.00589151,-0.796359,-0.796359,0.13089,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0621445,0.347955,0.326402,0.263499,-8.83782,9.59709,-1.46732,5.83745,-2.48059,-9.28286,9.77989,5.42957,1.08381,0.699451,0.699451,0.0401143,6.5776e-05,2.15663,2.15663,1.0216,0.981805,1.59687,1.59687,0.000417018,2.97089,-0.701069,-0.701069,0.455262,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.100742,0.0182979,0.41219,0.468771,-0.780071,3.13081,-3.64132,7.73439,-7.5403,7.83061,-7.33942,-8.49,0.303023,0.272529,0.272529,1.02809,0.58921,-0.203113,-0.203113,1.06803,0.0362022,0.233855,0.233855,0.196676,1.26433,-0.425701,-0.425701,0.42121,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.12838,0.403884,0.261118,0.206619,8.90287,9.063,0.357543,-9.82708,-1.54221,-3.8882,-3.064,3.0781,0.0483438,0.743105,0.743105,0.63307,0.298705,-1.42989,-1.42989,0.0345961,0.305797,-0.43965,-0.43965,2.92225,0.106851,0.549682,0.549682,0.000135893,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.216944,0.397298,0.266068,0.11969,4.73751,-4.99466,9.39247,-1.87736,-0.209826,-1.41805,-2.33373,6.68825,0.115995,-0.672789,-0.672789,0.0212175,3.15884,-1.63368,-1.63368,0.57283,0.464559,0.507809,0.507809,1.37503,0.246343,0.231786,0.231786,0.00427829,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.110018,0.0798893,0.454029,0.356063,-4.06902,-3.59108,8.02892,6.48534,8.28417,-0.566233,-4.90041,5.99453,1.21689,-0.0733008,-0.0733008,0.0110966,1.42697,-0.479095,-0.479095,0.507425,1.29319,0.515905,0.515905,0.0870591,2.18895,1.12187,1.12187,1.38609,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.292602,0.437803,0.233167,0.0364278,-7.49579,-7.96707,-3.43967,-1.18934,3.90063,-3.35202,-7.7211,-6.86315,1.00236,-1.22286,-1.22286,2.19168,0.00374555,0.470333,0.470333,0.00525241,0.0385634,-0.0239775,-0.0239775,0.00182361,0.923448,0.0191092,0.0191092,0.0600524,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.208209,0.151615,0.197842,0.442333,-5.16359,-2.95751,4.31673,-5.56891,4.30909,-0.862137,-8.94381,6.34178,0.0187971,1.09099,1.09099,1.50438,0.753299,0.355704,0.355704,0.78906,0.727891,-0.0013198,-0.0013198,0.542823,0.00584739,-0.00314564,-0.00314564,0.300417,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.30957,0.0551048,0.350841,0.284484,9.58057,7.65531,-7.93802,-2.33405,-2.40308,-0.805958,9.4056,-2.69179,0.985707,-0.228984,-0.228984,0.0296767,3.29834,0.603687,0.603687,0.638829,1.08961,-0.500959,-0.500959,1.23692,0.129407,-1.15711,-1.15711,2.17251,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.124156,0.36867,0.195568,0.311606,6.19621,-9.70848,0.196143,5.07096,-2.51116,-3.58351,5.784,6.75574,0.205022,-0.0125716,-0.0125716,0.24995,0.0261584,1.05726,1.05726,0.794681,2.47777,0.386512,0.386512,1.179,0.921955,-1.46209,-1.46209,0.0628639,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
